Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7b2e2c61dad29ee0faf71,6682ce9caed960d3f6827a89,APPROVED,Not Applicable,2024-07-29T15:19:23.061000Z,2024-07-29T15:44:57.675000Z,2024-07-29T15:45:01.681000Z,2024-07-29T15:44:58.490839Z,1535.0,CDDT2OUD,2,"English, French",37,Male,White,France,France,France,French,Yes,Full-Time
66a7b309224bd36f5ded27f4,669003bbdda6669878bfa30b,APPROVED,Not Applicable,2024-07-29T15:20:16.117000Z,2024-07-29T15:35:31.591000Z,2024-07-29T15:35:32.442000Z,2024-07-29T15:35:32.343517Z,916.0,CDDT2OUD,19,"English, Chinese, French, German, Portuguese",29,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
66a7b313ee2079aad4eaa724,5f2c1e1dc2211406b0e94360,APPROVED,Not Applicable,2024-07-29T15:19:50.283000Z,2024-07-29T15:31:29.034000Z,2024-07-29T16:59:56.637000Z,2024-07-29T15:31:29.629426Z,699.0,CDDT2OUD,195,"English, French, Spanish, Catalan",38,Female,White,France,Spain,France,French,Yes,Part-Time
66a7b315798d8b1cb959ade4,651ac0b0d69f01889206a537,APPROVED,Not Applicable,2024-07-29T15:19:54.109000Z,2024-07-29T15:30:36.756000Z,2024-07-29T15:31:05.263000Z,2024-07-29T15:30:37.327059Z,643.0,CDDT2OUD,64,French,22,Female,White,France,France,France,French,No,Part-Time
66a7b31eca0afe2d05a9f90b,65410a2c2b4782dbdb520075,APPROVED,Not Applicable,2024-07-29T15:20:01.834000Z,2024-07-29T15:31:52.184000Z,2024-07-29T15:31:52.957000Z,2024-07-29T15:31:52.875411Z,711.0,CDDT2OUD,172,"Greek, French, English",27,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time
66a7b329607bab7fe01dd7df,665b8b9ab596a3558adbc2bf,RETURNED,Not Applicable,2024-07-29T15:20:19.053000Z,,,2024-07-29T21:40:42.701607Z,,,29,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b33d162a8c2b7ef3f9fe,613215855b139586b5609ba5,APPROVED,Not Applicable,2024-07-29T15:20:31.623000Z,2024-07-29T15:55:37.600000Z,2024-07-29T15:55:58.301000Z,2024-07-29T15:55:42.823460Z,2106.0,CDDT2OUD,557,"English, French, German, Spanish",26,Male,White,France,France,France,French,No,Full-Time
66a7b8ab0b927132bbba7ee6,5ce42dbec3f4270001574a15,APPROVED,Not Applicable,2024-07-29T15:43:57.093000Z,2024-07-29T16:00:24.431000Z,2024-07-29T16:00:25.390000Z,2024-07-29T16:00:33.604991Z,988.0,CDDT2OUD,80,French,32,Male,White,Belgium,Belgium,Belgium,French,No,Full-Time
66a7b8c2e7d30cd0daa2b5c5,660f4148b284cddf053d44f5,APPROVED,Not Applicable,2024-07-29T15:44:06.482000Z,2024-07-29T15:57:37.669000Z,2024-07-29T15:57:41.633000Z,2024-07-29T15:57:38.346898Z,812.0,CDDT2OUD,49,French,48,Male,White,Canada,Canada,Canada,French,No,Full-Time
66a7b93e6314101a492882f3,65ae5255a1bbbe43fb7280ba,APPROVED,Not Applicable,2024-07-29T15:46:15.002000Z,2024-07-29T16:07:48.686000Z,2024-07-29T16:09:10.318000Z,2024-07-29T16:09:11.227438Z,1294.0,CDDT2OUD,124,"English, French, Italian",24,Male,White,France,France,France,French,Yes,DATA_EXPIRED
66a7b9436d7db51bd87fd4bc,66a3a567c6221a15c05d41be,RETURNED,Not Applicable,2024-07-29T15:46:42.207000Z,,,2024-07-29T21:40:42.716857Z,,,4,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
